date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,icu_patients,hosp_patients,weekly_hosp_admissions,daily_case_change_rate,daily_death_change_rate,hospitalization_rate,icu_rate,case_fatality_rate,7day_avg_new_cases,7day_avg_new_deaths,hospitalization_need,icu_requirement
2022-01-05,56187104.0,902391.0,824209.0,1672.0,166091.602,2436.399,21529.0,121444.0,122379.0,1.6322613450123185,0.203273530552425,0.21614212400055355,0.03831662155073876,1.4669006610484854,502377.28571428574,1329.7142857142858,High,High
2022-01-06,56919618.0,732514.0,827049.0,2840.0,168256.946,2444.794,22134.0,126976.0,127757.0,1.3037048501378536,0.34457279646303307,0.2230795013416991,0.03888641698192704,1.4530122110095678,551377.2857142857,1402.4285714285713,High,High
2022-01-07,57622408.0,702790.0,828895.0,1846.0,170334.425,2450.251,22862.0,131874.0,132838.0,1.2347061078308714,0.22320322012359609,0.22885888420352027,0.03967553733610022,1.4384942052404335,584017.4285714285,1405.7142857142858,High,High
2022-01-08,58420844.0,798436.0,830983.0,2088.0,172694.637,2456.423,23139.0,133576.0,138339.0,1.3856345607771199,0.2519016280711067,0.22864442013196523,0.0396074387422407,1.4224084129972514,614558.7142857143,1513.4285714285713,High,High
2022-01-09,59273795.0,852951.0,833449.0,2466.0,175215.999,2463.713,23789.0,137251.0,141770.0,1.4600114301669453,0.2967569733676862,0.23155426440976148,0.040134092983248326,1.4061002842824557,668985.2857142857,1673.7142857142858,High,High
2022-01-10,59722538.0,448743.0,834318.0,869.0,176542.503,2466.281,24487.0,142248.0,144561.0,0.7570681107899367,0.10426552794472127,0.23818143830391134,0.04100127158025334,1.3969901948909136,689811.8571428572,1736.4285714285713,High,High
2022-01-11,60209079.0,486541.0,835017.0,699.0,177980.74,2468.348,25081.0,145834.0,147336.0,0.8146689948106358,0.08378100436524202,0.242212640389334,0.041656508314966915,1.3868622703894873,703480.8571428572,1782.857142857143,High,High
2022-01-12,61474599.0,1265520.0,836979.0,1962.0,181721.674,2474.147,25328.0,149670.0,149725.0,2.1018756988460163,0.2349652761560543,0.24346641122457746,0.04120075675483462,1.36150379769049,755356.4285714285,1824.2857142857142,High,High
2022-01-13,62278138.0,803539.0,840168.0,3189.0,184096.972,2483.574,25558.0,151006.0,151330.0,1.3071073468897292,0.38101314369894584,0.2424703191993312,0.04103847806111351,1.349057674139198,765502.8571428572,1874.142857142857,High,High
2022-01-14,63134018.0,855880.0,842648.0,2480.0,186626.991,2490.905,25734.0,152033.0,152933.0,1.3742864309783955,0.29517905942621003,0.24080995446860357,0.04076090959393714,1.3346972467362999,787372.8571428572,1964.7142857142858,High,High
2022-01-15,64026321.0,892303.0,844827.0,2179.0,189264.679,2497.347,25802.0,149478.0,153977.0,1.4133473969611754,0.25858958900988316,0.2334633595455219,0.04029905138544506,1.319499522704108,800782.4285714285,1977.7142857142858,High,High
2022-01-16,64924728.0,898407.0,847829.0,3002.0,191920.41,2506.221,25867.0,149973.0,153366.0,1.4031838562143841,0.3553390220719745,0.23099519184739595,0.03984152232412895,1.3058645390089274,807276.1428571428,2054.285714285714,High,High
2022-01-17,65390685.0,465957.0,849209.0,1380.0,193297.8,2510.3,26077.0,150873.0,151820.0,0.7176880278959351,0.1627686715127697,0.23072552306188562,0.03987876866559816,1.2986696805515954,809735.2857142857,2127.285714285714,High,High
2022-01-18,65809422.0,418737.0,850082.0,873.0,194535.606,2512.881,26372.0,153220.0,151023.0,0.6403618497038225,0.10280154826432597,0.23282380446982198,0.040073289201658695,1.2917329679631588,800049.0,2152.1428571428573,High,High
2022-01-19,66777887.0,968465.0,851535.0,1453.0,197398.432,2517.176,26458.0,154497.0,149989.0,1.4716205834477623,0.1709246872654638,0.23135952175306176,0.03962090025400175,1.2751751189731415,757612.5714285715,2079.4285714285716,High,High
